lag,target_process,source_process,phi
1,X2Y,X2Y,0.05237210248294487
1,X2Y,Y2X,0.009015172978429483
1,Y2X,X2Y,0.01659637886658459
1,Y2X,Y2X,0.05966681218322192
2,X2Y,X2Y,0.047992382193030106
2,X2Y,Y2X,0.019931215898014654
2,Y2X,X2Y,0.012050878291931078
2,Y2X,Y2X,0.053400864948193974
3,X2Y,X2Y,0.03385189828437116
3,X2Y,Y2X,0.0199229479539589
3,Y2X,X2Y,0.007212945557063044
3,Y2X,Y2X,0.047865668248824905
4,X2Y,X2Y,0.03145642707774201
4,X2Y,Y2X,0.005536838802355434
4,Y2X,X2Y,0.007021612162770308
4,Y2X,Y2X,0.0382829972364818
5,X2Y,X2Y,0.03092853832591799
5,X2Y,Y2X,0.013590942315474731
5,Y2X,X2Y,-0.0001682539088176671
5,Y2X,Y2X,0.023832003021583975
6,X2Y,X2Y,0.0247932660621544
6,X2Y,Y2X,0.009620611597122028
6,Y2X,X2Y,0.004101886791895111
6,Y2X,Y2X,0.02235055572890974
7,X2Y,X2Y,0.016759022644349208
7,X2Y,Y2X,0.014582933211072029
7,Y2X,X2Y,-0.002663787840033977
7,Y2X,Y2X,0.016659243444259564
8,X2Y,X2Y,0.022568094442622883
8,X2Y,Y2X,0.007713504993475329
8,Y2X,X2Y,0.0032559024623973476
8,Y2X,Y2X,0.014956406310795494
9,X2Y,X2Y,0.014950167067522734
9,X2Y,Y2X,-0.00021510999219412005
9,Y2X,X2Y,0.002201135371570087
9,Y2X,Y2X,0.022222979626214542
10,X2Y,X2Y,0.012469895873795394
10,X2Y,Y2X,-0.00010432733890273702
10,Y2X,X2Y,-0.0027557827020872746
10,Y2X,Y2X,0.022131172395930897
11,X2Y,X2Y,0.014742636590042293
11,X2Y,Y2X,0.003019736866237223
11,Y2X,X2Y,0.0004148468851431699
11,Y2X,Y2X,0.017256093304854447
12,X2Y,X2Y,0.013000980324195383
12,X2Y,Y2X,0.0020611680496697773
12,Y2X,X2Y,-0.00060759876336205
12,Y2X,Y2X,0.0152775079885573
13,X2Y,X2Y,0.013582323049822792
13,X2Y,Y2X,-0.002527527500253756
13,Y2X,X2Y,-0.0012756205214043623
13,Y2X,Y2X,0.013348480846065429
14,X2Y,X2Y,0.018466399079146614
14,X2Y,Y2X,0.008923840742033564
14,Y2X,X2Y,0.0005293402228218527
14,Y2X,Y2X,0.01035592497248671
15,X2Y,X2Y,0.01458368518854407
15,X2Y,Y2X,0.0016788504452055035
15,Y2X,X2Y,-0.0012984041258905692
15,Y2X,Y2X,0.008681577174761788
16,X2Y,X2Y,0.010388997057281918
